text,sentiment
bagus dan cepat,1
Pesanan cpt diproses dan sy sdg pakai simcard nya di Eropa. Signal bagus. Recommend bgt.,1
barang asli nya tak seindah yg difoto:(,0
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",1
"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",1
gk ada plat besinya...cm ada label merk bahan,0
tipis.kecil,0
tipis bgt kyk stocking??,0
ada harga ada kualitas. maaf terlalu rentan bahan nya. ga bisa dipasang ring perasan nya,0
"barang datang dalam keadaan dilipat, padahal ada catatan barang digulung, jangan dilipat",0
"satu lobang tali sepatunya besar sekali, seperti lobang di tusuk dua pulpen, sepatunya tidak di cek pada saat mau di kirim.",0
"Brgnya cpt sampai, packing maxi, trims utk seller..toko recommend",1
Tidak ada rincian cara penggunaan nya.. tidak ada keterangan alat pendukung utk HP dan kamera. Jadi ngga ngerti saya klo di pake ke HP gmn caranya? Cara tinggiin tripod nya gimn???,0
barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,1
Gampang dibawa-bawa. Muat banyak buku. Enak buat baca. Packaging aman ??. Packaging rapi.,1
Sesuai order. Modelnya bagus dan nyaman. Cepat dan aman,1
ga jelas aromanya,0
produk OK packing bagus pengiriman cepat,1
mantap pengiriman luarbiasa cepat...barang oke,1
Tidak menerawang. Nyaman dipakai. Mudah dibentuk. Modelnya cantik ??. Bahannya adem. Jahitan rapi. Warnanya cantik ??.,1
"official store sih bener, tapi begitu banyak komplen tentang packing, tetep masih di abaikan, berhubung barang nya Ok, ya masih ada yg mau beli, tolong para ATASAN perushaan ini, perhatikan bagian packingnya, jangan cuman asal packing,",0
"Produk tidak ORI (KW),tidak bekerja dengan baik.dikirim 2 PGP tidak bekerja di 2 hp saya Lenovo n Advan.Cuma jadi bangkai.After sales buruk,Respon seller kurang.no recommended.",0
bahan tipis.. kayaknya ga bisa di pakai,0
mantap laptop jd adem ga cpt panas ????,1
barang tidak berfungsi/tidak bisa jalan.,0
Semua tombol x tidak berfungsi sama sekali jadi mubazir sekali,0
"Respon cepat, barang sesuai pesanan.. Bahannya adem. Tebalnya pas!. Packing aman. Recommended..",1
"saya sengaja selesaikan pesanan ini agar bisa nulis ulasan sesuai pengalaman saya belanja dintoko ini. saya sempat tamyakan via chat tentang foto asli ikan dijawab ikannya sesuai gambar di etalase, saya tanya juga bukan burayak dijawab bukan. tapi faktanya.......... : NON SENSE YG DIKIRIM BURAYAK",0
"kecewa dengan pelayanan toko ini, Dan nyesal denga toko ini, paket lama datang, dah itu paket tidak sampai di tempat tujuan. kalau boleh saya sarankan kepada pembeli lainnya, jangan pesan lagi deh ,barang disini, mereka tidak bertanggung jawab,",0
"Pesen white & silver, yg dikirim white & red.. kecewa ga sesuai pesanan",0
"barang sesuai pesanan, mantap dipakai, sdh prnh pny sblmny tp ilang makany beli lg barang yg sama,, triger super awet dn oke, bs sgala jenis smartphone tebal ?? gw salut sm kecepatan proses kemasan dn waktu kirimny, toko ini rekomen bgt, bsk gw beli lg dehh ????",1
Kualitas produk bagus ??. Desainnya cantik ??. Warnanya cantik ??.,1
"produk selalu fresh dan lezat, packing rapih, pengiriman cepat, dan pelayanan toko sangat ramah ?? sukses terus ya. ??",1
"baru beli seminggu yg lalu, cuma pake bentar, pas mau pake lagi uda ga bunyi.",0
"Alhamdulillah terimkasih seller, Tas nya bagus bnget anak saya suka dan langsung dipakai sekolah. Seller ramah dan proses pengirimanya cepat bikin puas pembeli. saya doakan sukses selalu untuk usahanya semoga semakin maju.",1
"Bagus. Sesuai Ekspetasi. Original. Pengiriman Cepat. Cuma pada bagian tombol �Adjust� agak masuk kedalam jadi agak susah ditekan. Kalau tombolnya bagus, aku langsung kasih bintang 5 hehehe",1
"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",0
"barang sesuai pesanan,pengiriman cepat,pengemasan sangat bagus,bubble wrap tebal????",1
"Pengirimannya cepat, barang bagus, tapi ukuran maksimal 27 sepertinya, jadi tidak muat",1
"pembelian ke 2 beda 10 hari aja, kenapa pelet maxi nya beda ya, lebih kecil2 dr biasanya dan warna lebih gelap. aroma juga beda.",0
"pie susunya jamuran, duh parah bgt sih jualan",0
"gak sesuai ekspektasi, ternyata di ol shop lain harga jauh banget lebih murah",0
barang sesuai deskripsi,1
Super kereen seller deh ini. Terima kasih bantuannya,1
"Udah punya 3 botol dan 1 refill, beli lagi biar dpt botol baru yg ada sticker dermatologically tested nya",1
respon cepat sangat memuaskan,1
"RESCUE FROM DAMAGE BOX, ngga guna jg, nyampe rumah, boxnya penyok2",0
barang ORI.bagus banget.selalu pake ini dari bayiku lahir. cuma pengiriman nya lamaAman buat kulit bayi. Menggunakan bahan alami. Nggak lengket. Melembabkan kulit bayi. Nggak memicu alergi. Packaging aman ??.,1
"Sudah order yg kedua disini, packingnya rapi, untuk lilin sama tulisan ulang tahun yang rentan patah dimasukkan ke dalam kardus ??pengirimannya juga cepat, semua barang yg dipesan lengkap dan kualitas bagus semua, balon2 ga ada yg bocor, lilin dan tulisan ultah nya juga ga ada yg patah. Anak bungsu saya senaaaaang sekali. Terima kasih banyak ya ??",1
"Sangat amat kecewa, tidak layak jual",0
kecewa. krn pd saat brg tsb sampai kami tdk ada dirmh. dan oleh kurir paketnya dilempar yg mengakibatkan bodi wajan tsb penyok.,0
lebih kecil.. ndak muat di mesin cuci elextrolux overal bhanya bagus anti air,0
minta warna hitam doff malah dikirim warna warni semua..tanpa konfirmasi,0
"packing nya rapi bngt.... pengiriman cepat, kurirnya jg ramah ... recommended ??",1
"KURANG TELITI, SAYA PESAN HITAM 1 DAN MERAH 1 YG DIKIRIM HITAM SEMUA",0
"pengiriman cepat, packaging hanya satu lapisan, warna tidak sesuai pesanan tapi no problem",1
sudah sampai dan lengkap y gan. trins,1
"mantab. berfungsi dengan mantab, proses pengiriman cepat. TOP",1
Kesekian kali beli disini mantap,1
JELEKKKKK PUTUSS SEMUA TALINYA,0
"gak ada sablon di box nya, harga mahal pula",0
"tokopedia, dabest.. thankssssssssssssssss",1
ANCUR DAH PELAYANANNYA. GAUSAH KESINI DAH KALO GAK MAU KAPOK,0
"relapict sekali,,,suka pokoknya??",1
bahan tipis jelek,0
baaaaaaggggggggguuuuuuuuuuuuuuussssssssssssssssss,1
"bgs brgnya, semoga awet.",1
thanks sukses terus,1
"untuk barang nya lumayan bagus wkwk ada harga ada kualitas ga masalah, respon barang nya juga cukup bagus sensitif nya",1
3 penyok parah banget gk layak jual dan sobek parah... padahal udh sering beli dikasihnya jelek banget... GG bang,0
produk bisa dipakai dg baik. semoga awet. fast respon.,1
produk sangat baik dan pengemasan rapi,1
makasih gun barang nya udh sampai sesuai pesanan..,1
"nyaman digunakan, membantu mengecilkan perut setelah melahirkan",1
"lumayan bagus ,isi banyak dan bahanny karet lentur banget ,pas banget di tangan",1
Respon penjualnya top Packaging aman ?? Proses pesanan cepat Kualitas bahan bagus,1
"jelek, panjang dan lebar gak rata, akhirnya bukan terlihat bagus malah terlihat jelek, akhirnya saya copot",0
"empuk manis gede dagingnya, kecil bijinya. respon seller cepat, gratis ongkirnya juga cepat sampai. mantap deh. pasti bakal beli lagi disini.",1
Barangnya oke dan harganya jg terjangkau. Packingnya rapi bgt. jempolan sellernya,1
"barang sudah sampai, dipacking dengan aman dan dpt hrga promo lg, thanks seller",1
"kurang ya jamnya, harusny dijelasin display jam gk selalu hidup harus di idupin dulu.",0
barangnya bagus. lucu. semoga ada versi besarnya. untuk anak kelas 1 SD gitu. hehehe,1
"Cas aki berfungsi baik. aki yg masih bagus pasti bisa dicas. lumayan drpd titip cas pinggir jalan mending py sendiri. Semoga awet, sukses terus buat seller.",1
"makasih banyak gan, sukses selaluu pelayanan mantapp barang asli. sukses selalu untuk seller dan semoga bisa terus kasih harga dan pelayanan yg mantapp",1
pengiriman cepat kualitas barang bagus wanginya juga oke,1
"parahhhhh kecewa bgt bilang bahan yg tebel tpi datang tipis murahan, mana pesanan di kali 4 nilainya hasilnya jelek bgtttt, jgn mau pesen di toko ini parah bgtttttttttttttttttttttttttttttttttt",0
"mantap proses pengemasan dan pengirimannya cepat, produknya juga nyaman bahannya...",1
Mantap donk. Produk Original.,1
Tidak menerawang. Jahitan rapi. Mudah dibentuk. Warnanya cantik ??. Nyaman dipakai.,1
harga sesuai barang yah....,1
Beli di Official Store tgl 22 Feb 22 eh 23 Feb udh sampai di siang hari ???? Cepat banget ???? Thank you bangettttt cussons ???????? Dapet harga flass sale jd murah ??,1
