emoticon,meaning,sentiment
#‑),Party all night,netral
%),Drunk or confused,netral
%‑),Drunk or confused,netral
(#^.^#),Normal Laugh,positif
(';'),Baby,netral
('_'),Sad or Crying,negatif
((+_+)),Confused,netral
((d[-_-]b)),"Headphones,Listening to music",netral
(*^.^*),Normal Laugh,positif
(*^0^*),Excited,netral
(*^^)v,"Laughing,Cheerful",positif
(*_*),Amazed,netral
(*_*;,Amazed,netral
(*￣m￣),Dissatisfied,netral
(+_+) (@_@),Amazed,netral
(+o+),Confused,netral
"(-""-)",Worried,netral
(-.-),Shame,netral
(-_-),Shame,netral
(-_-)/~~~ ($··)/~~~,Waving,netral
(-_-)zzz,Sleeping,netral
(-_-;),Nervous or Embarrassed or Troubled or Shy or Sweat drop,netral
(..),Looking down,netral
(._.),Looking down,netral
(/_;),Sad or Crying,negatif
(:_;),Sad or Crying,negatif
(;O;),Sad or Crying,negatif
(;_:),Sad or Crying,negatif
(;_;,Sad of Crying,negatif
(;_;)/~~~,Waving,netral
(=^·^=),cat,netral
(=^··^=),cat,netral
(=_=),Tired,netral
(>_<),Troubled,netral
(>_<)>,Troubled,netral
(?_?),Confusion,netral
(T_T) (;_;),Sad or Crying,negatif
(T_T)/~~~,Waving,netral
(ToT),Sad or Crying,negatif
(ToT)/~~~,Waving,netral
(^)o(^),Happy,positif
(^.^),Normal Laugh,positif
(^.^)/~~~,Waving,netral
(^0_0^),Eyeglasses,netral
(^<^) (^.^),Normal Laugh,positif
(^J^),Normal Laugh,positif
(^O^),Happy,positif
(^O^)／,Joyful,positif
(^^),Normal Laugh,positif
(^^>``,Nervous or Embarrassed or Troubled or Shy or Sweat drop,netral
(^_-),Wink,positif
(^_^),Normal Laugh,positif
(^_^)/,Joyful,positif
(^_^)v,"Laughing,Cheerful",positif
(^_^.),Normal Laugh,positif
(^_^;),Nervous or Embarrassed or Troubled or Shy or Sweat drop,netral
(^o^),Happy,positif
(^o^)／,Joyful,positif
(^—^）,Normal Laugh,positif
